path	bytes	sha256	role
assets/icons/dot.svg	627	079211682b5babbe657ea027e8060e89e5b41e984972add92969f30ef596d8dd	assets-required-cargo
assets/icons/download.svg	1512	bdbafbd6e24451467910bfc1c6d7ed67bd492f90ed9166aac018980a71f94b61	assets-required-cargo
assets/icons/edit.svg	2887	ee746854173622e2e00f04212e194b81a23dca29611ba4b0283669ed60baeff5	assets-required-cargo
assets/icons/equipment-required.svg	2349	6c08381b1328bebbb3d0326fac4c0ba282b718c64503682a317d0b87057e2238	assets-required-cargo
assets/icons/error.svg	10064	cf93b0a14ebad61c64a7f971f9c2f47ae07ee5f215adc90c8054171ec8057c7d	assets-required-cargo
assets/icons/expand.svg	2168	e344d0fd5bd06da42bb64d739accce42cee513136a82c2325bf641e0e51c33f9	assets-required-cargo
assets/icons/external.svg	1917	c4491f7938d33df02cb0e809efdf75cb9ca025e2a89ba7d39f2efe06fd134f11	assets-required-cargo
assets/icons/facebook.svg	4839	4541be1a62f61295316a373f7de81fd179a0bd8413fc7a7fca9f05906e1c9d74	assets-required-cargo
assets/icons/filter.svg	4737	2b4ddfb69aff1dce7de428010ff52936acd3cc3e288f802b38420973339713c7	assets-required-cargo
assets/icons/free-tag.svg	19808	cd9652dba1fb3b867325b0c42affa5a6a675c7533f446a3041551c024a5522eb	assets-required-cargo
assets/icons/go.svg	2027	7e1788f77bd80caa2c41fdee5ca70099d05e2b7d95d56850bb7f1b0576d87c6e	assets-required-cargo
assets/icons/hamburger.svg	2820	978f69a3aba810ac9e4142205a7f00c422e295d59c11774853843137364fde3c	assets-required-cargo
assets/icons/header-underline.svg	8800	3e65374f5fa9b69216b4136ed8397ab25db369514a052948b7cb38b2c7be2b04	assets-required-cargo
assets/icons/home.svg	1844	9f9ed70890674bfba02bdd2c0bb0f7c3b98496db74a16e4bb4cb797dd8b801b3	assets-required-cargo
assets/icons/homepage-robot-waving.svg	19138	f5231df42305a4bb61da24d71baa03fe4c3fbb3051d84c01114d3f5ca26c2a4a	assets-required-cargo
assets/icons/homepage-teacher.svg	29687	62e6bcdf43fc1c3c7421179f01822805d62f8c1e41f616a30088141677222975	assets-required-cargo
assets/icons/homepage-three-pupils.svg	46105	7286374c5fc86683b062749bee2d1636bb44bde1576a37d350b3e4d671baf315	assets-required-cargo
assets/icons/info.svg	6610	a09596646b374158ae549385d056c336d1358a42e3988742e695ff8647a3115e	assets-required-cargo
assets/icons/instagram.svg	6588	b69f607706f8ce762e3cc654c3310f8a8340d3665017a0f67434decd6bb0cb95	assets-required-cargo
assets/icons/intro.svg	5719	2a892179cb0144c50c3ba9fa5a52c15100b7c76814230d91431c79584f7f674e	assets-required-cargo
assets/icons/lightbulb-yellow.svg	7176	d6bc60b6a01c0799cdd72962ccf4896bc980d1d753735d6c5623c25fabb03f9c	assets-required-cargo
assets/icons/lightbulb.svg	3775	1eaba987c30efbbf6f970db13aedce11236fe585d480ce81dfee1001f76aa224	assets-required-cargo
assets/icons/linkedin.svg	7820	5463233993780034723546a40b014d36f1e872fe8f0ed1bfc03150d577b4cd46	assets-required-cargo
assets/icons/lock.svg	1142	59d434d98f4b8f9c6892c5a99eccbda2716c0b486d9c603cc0d4dcf4e08c9166	assets-required-cargo
assets/icons/logo.svg	1767	68b1ba665afbdb565f8be7c14964e80dafcf16e2f7bc627c4eb123bb28c4cbfa	assets-required-cargo
assets/icons/magic-carpet.svg	9062	22b1aa0f0cee9317b20f5520579b698ccbaa8ffa253b16989a8f5383a29fd34f	assets-required-cargo
assets/icons/minimise.svg	2170	f531312988c6623a97948be7fce29bd75bde1c373d18346b628766dba1e2456d	assets-required-cargo
assets/icons/pause.svg	1255	bf0b674f838226049b0c1b7e6fa30ec9b213a0007559405a7323b372a6db4bc8	assets-required-cargo
assets/icons/pencil.svg	8113	4412814a0dfa8f0b7e968360d368329c27d0315458263596b6b8c67c72cd07d8	assets-required-cargo
assets/icons/play.svg	821	ffe2a712311850b800269c75a1e3d41233f2fa42a2ed256185bb5db8e9add6d9	assets-required-cargo
assets/icons/project.svg	1940	8fb8b6d17c7c8b8df690989bc5614c83a7a6b98f29070dd51ab7c1b8d1bdd8be	assets-required-cargo
assets/icons/question-mark.svg	6800	e8e8f588a657b4eafb0152200a95b987b54cf7d036577e6649bb79eb1e7e81ac	assets-required-cargo
